Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year,Length.All PlayStyles.Average,Length.All PlayStyles.Leisure,Length.All PlayStyles.Median,Length.All PlayStyles.Polled,Length.All PlayStyles.Rushed,Length.Completionists.Average,Length.Completionists.Leisure,Length.Completionists.Median,Length.Completionists.Polled,Length.Completionists.Rushed,Length.Main + Extras.Average,Length.Main + Extras.Leisure,Length.Main + Extras.Median,Length.Main + Extras.Polled,Length.Main + Extras.Rushed,Length.Main Story.Average,Length.Main Story.Leisure,Length.Main Story.Median,Length.Main Story.Polled,Length.Main Story.Rushed
WWE SmackDown vs. Raw 2007,True,4,True,True,Sports,True,THQ,True,78,0.34,14.95,Sony PSP,T,True,2006,23.4,45.63333333333333,9.116666666666667,10,11.916666666666666,57.6,64.51666666666667,50.48333333333333,3,50.66666666666666,0.0,0.0,0.0,0,0.0,8.75,9.433333333333334,9.0,7,8.216666666666667
BWii: Battalion Wars 2,True,1,True,True,"Action,Simulation,Strategy",True,Nintendo,True,75,0.21,14.95,Nintendo Wii,T,True,2007,10.033333333333331,15.433333333333334,9.716666666666669,10,7.55,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10.033333333333331,15.433333333333334,9.716666666666669,10,7.55
Nintendogs,True,1,True,True,Simulation,True,Nintendo,True,83,9.72,26.95,Nintendo DS,E,True,2005,39.38333333333333,66.83333333333333,27.98333333333333,9,22.83333333333333,100.0,100.0,100.0,1,100.0,43.35,49.016666666666666,43.35,2,37.66666666666666,27.966666666666665,46.81666666666667,22.15,6,18.53333333333333
Secret Files: Tunguska,True,1,True,True,Adventure,True,,True,71,0.03,17.95,Nintendo DS,M,True,2008,10.083333333333334,13.6,9.333333333333334,27,7.3,12.05,14.75,12.0,9,10.5,11.5,11.75,11.5,2,11.25,8.8,12.566666666666666,8.716666666666667,16,6.816666666666666
Tokobot,True,1,True,True,Strategy,True,,True,72,0.06,17.95,Sony PSP,T,True,2005,9.333333333333334,10.5,8.683333333333334,4,8.5,0.0,0.0,0.0,0,0.0,12.0,12.0,12.0,1,12.0,8.45,8.7,8.366666666666667,3,8.2
Need for Speed: ProStreet,True,2,True,True,Racing / Driving,True,EA,True,73,0.75,16.95,PlayStation 3,T,True,2007,13.1,18.766666666666666,12.0,14,10.266666666666667,16.283333333333335,18.03333333333333,15.866666666666667,3,14.533333333333331,15.5,19.75,13.5,4,12.25,10.383333333333333,11.183333333333334,10.0,7,9.083333333333334
Hellboy: The Science of Evil,True,2,True,True,"Action,Adventure",True,Konami,True,44,0.08,14.95,X360,M,True,2008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
SOCOM: U.S. Navy SEALs - Confrontation,True,1,True,True,Action,True,Sony,True,63,0.91,16.95,PlayStation 3,E,True,2008,10.0,10.0,10.0,1,10.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,10.0,10.0,10.0,1,10.0
The Lord of the Rings: The Battle for Middle Ea...,True,1,True,True,Strategy,True,EA,True,79,0.27,19.95,X360,T,True,2006,20.433333333333334,34.25,16.583333333333332,22,14.75,27.85,38.2,25.0,8,19.466666666666665,18.883333333333333,20.33333333333333,20.0,5,17.8,14.716666666666669,19.3,14.5,9,12.8
Madagascar: Escape 2 Africa,True,1,True,True,"Action,Adventure",True,Activision,True,55,0.32,17.95,Nintendo DS,T,True,2008,6.5,6.75,6.5,2,6.25,0.0,0.0,0.0,0,0.0,7.0,7.0,7.0,1,7.0,6.0,6.0,6.0,1,6.0
